Volcano_Name,Volcano_Image,Volcano_Type,Country,Region,Subregion,epoch_period,Last_Eruption,Summit_and_Elevatiuon,Latitude,Longitude,population_within_5km,population_within_10km,population_within_30km,population_within_100km,Latitude1,Longitude1,Elevation1,Placement
Adwa,https://volcano.si.edu/gallery/photos/GVP-11729.jpg,Stratovolcano,Ethiopia,Africa and Red Sea,Africa (northeastern) and Red Sea,holocene,Unknown - Evidence Credible,"1670 m, 5479 ft",10.063°N,40.831°E,101,485,18645,1242922,10.063,40.831,1670,On land
Afdera,https://volcano.si.edu/gallery/photos/GVP-09903.jpg,Stratovolcano,Ethiopia,Africa and Red Sea,Africa (northeastern) and Red Sea,holocene,Unknown - Evidence Uncertain,"1250 m, 4101 ft",13.088°N,40.853°E,51,6042,8611,161009,13.088,40.853,1250,On land
Alayta,https://volcano.si.edu/gallery/photos/GVP-11181.jpg,Shield,Ethiopia,Africa and Red Sea,Africa (northeastern) and Red Sea,holocene,1915 CE,"1496 m, 4908 ft",12.888°N,40.573°E,156,925,13459,330411,12.888,40.573,1496,On land
Ale Bagu,https://volcano.si.edu/gallery/photos/GVP-11726.jpg,Stratovolcano,Ethiopia,Africa and Red Sea,Africa (northeastern) and Red Sea,holocene,Unknown - Evidence Credible,"988 m, 3241 ft",13.512°N,40.631°E,2,919,8424,278270,13.512,40.631,988,On land
Alid,https://volcano.si.edu/gallery/photos/GVP-05954.jpg,Stratovolcano,Eritrea,Africa and Red Sea,Africa (northeastern) and Red Sea,holocene,Unknown - Evidence Credible,"904 m, 2966 ft",14.88°N,39.92°E,517,2447,25942,1216179,14.88,39.92,904,On land
Alu-Dalafilla,https://volcano.si.edu/gallery/photos/GVP-09907.jpg,Fissure vent(s),Ethiopia,Africa and Red Sea,Africa (northeastern) and Red Sea,holocene,2008 CE,"578 m, 1896 ft",13.793°N,40.553°E,0,9,11209,478054,13.793,40.553,578,On land
Aluto,https://volcano.si.edu/gallery/photos/GVP-10426.jpg,Stratovolcano,Ethiopia,Africa and Red Sea,Africa (northeastern) and Red Sea,holocene,50 BCE,"2335 m, 7661 ft",7.77°N,38.78°E,6011,25619,314216,6813710,7.77,38.78,2335,On land
Ardoukoba,https://volcano.si.edu/gallery/photos/GVP-10404.jpg,Fissure vent(s),Djibouti,Africa and Red Sea,Africa (northeastern) and Red Sea,holocene,1978 CE,"298 m, 978 ft",11.58°N,42.47°E,2895,2895,6898,560146,11.58,42.47,298,On land
Asavyo,https://volcano.si.edu/gallery/photos/GVP-11212.jpg,Shield,Ethiopia,Africa and Red Sea,Africa (northeastern) and Red Sea,holocene,Unknown - Evidence Credible,"1338 m, 4390 ft",13.098°N,41.599°E,84,479,7697,47836,13.098,41.599,1338,On land
Assab Volcanic Field,https://volcano.si.edu/gallery/photos/GVP-11176.jpg,Volcanic field,Eritrea,Africa and Red Sea,Africa (northeastern) and Red Sea,holocene,Unknown - Evidence Credible,"987 m, 3238 ft",12.95°N,42.43°E,9,9,97,181952,12.95,42.43,987,On land
Atakor Volcanic Field,https://volcano.si.edu/gallery/photos/GVP-11927.jpg,Pyroclastic cone(s),Algeria,Africa and Red Sea,Africa (northern),holocene,Unknown - Evidence Credible,"2918 m, 9573 ft",23.33°N,5.83°E,0,0,0,116453,23.33,5.83,2918,On land
Ayelu,https://volcano.si.edu/gallery/photos/GVP-00143.jpg,Stratovolcano,Ethiopia,Africa and Red Sea,Africa (northeastern) and Red Sea,holocene,Unknown - Evidence Credible,"2145 m, 7037 ft",10.082°N,40.702°E,193,1375,33262,1279214,10.082,40.702,2145,On land
"Barrier, The",https://volcano.si.edu/gallery/photos/GVP-10042.jpg,Shield,Kenya,Africa and Red Sea,Africa (eastern),holocene,1921 CE,"1032 m, 3386 ft",2.32°N,36.57°E,17,112,4180,109675,2.32,36.57,1032,On land
Bayuda Volcanic Field,https://volcano.si.edu/gallery/photos/GVP-10406.jpg,Pyroclastic cone(s),Sudan,Africa and Red Sea,Africa (northern),holocene,850 CE,"670 m, 2198 ft",18.33°N,32.75°E,1124,1124,2752,259325,18.33,32.75,670,On land
Beru,https://volcano.si.edu/gallery/photos/GVP-11169.jpg,Volcanic field,Ethiopia,Africa and Red Sea,Africa (northeastern) and Red Sea,holocene,Unknown - Evidence Credible,"1100 m, 3609 ft",8.95°N,39.75°E,3850,20176,196084,3809644,8.95,39.75,1100,On land
Bilate River Field,https://volcano.si.edu/gallery/photos/GVP-11545.jpg,Maar(s),Ethiopia,Africa and Red Sea,Africa (northeastern) and Red Sea,holocene,Unknown - Unrest / Holocene,"1700 m, 5577 ft",7.07°N,38.1°E,359001,359001,1222547,9860754,7.07,38.1,1700,On land
Bishoftu Volcanic Field,https://volcano.si.edu/gallery/photos/GVP-11166.jpg,Fissure vent(s),Ethiopia,Africa and Red Sea,Africa (northeastern) and Red Sea,holocene,Unknown - Evidence Credible,"1850 m, 6070 ft",8.78°N,38.98°E,310101,310101,662037,7986826,8.78,38.98,1850,On land
Bora Ale,https://volcano.si.edu/gallery/photos/GVP-09914.jpg,Stratovolcano,Ethiopia,Africa and Red Sea,Africa (northeastern) and Red Sea,holocene,Unknown - Evidence Credible,"668 m, 2192 ft",13.725°N,40.6°E,0,0,11328,339803,13.725,40.6,668,On land
Bora-Bericcio,https://volcano.si.edu/gallery/photos/GVP-00145.jpg,Pyroclastic cone(s),Ethiopia,Africa and Red Sea,Africa (northeastern) and Red Sea,holocene,Unknown - Evidence Credible,"2267 m, 7438 ft",8.221°N,39.05°E,5822,44666,433373,8356559,8.221,39.05,2267,On land
Borawli,https://volcano.si.edu/gallery/photos/GVP-09902.jpg,Stratovolcano,Ethiopia,Africa and Red Sea,Africa (northeastern) and Red Sea,holocene,Unknown - Evidence Credible,"784 m, 2572 ft",13.304°N,40.987°E,38,100,3699,111101,13.304,40.987,784,On land
Boset-Bericha,https://volcano.si.edu/gallery/photos/GVP-11167.jpg,Stratovolcano(es),Ethiopia,Africa and Red Sea,Africa (northeastern) and Red Sea,holocene,Unknown - Evidence Credible,"2447 m, 8028 ft",8.558°N,39.475°E,3267,19603,586318,7130451,8.558,39.475,2447,On land
Bufumbira,https://volcano.si.edu/gallery/photos/GVP-11190.jpg,Pyroclastic cone(s),Uganda,Africa and Red Sea,Africa (central),holocene,Unknown - Evidence Uncertain,"2100 m, 6890 ft",1.304°S,29.683°E,436134,436134,830916,10342253,-1.304,29.683,2100,On land
Bunyaruguru,https://volcano.si.edu/gallery/photos/GVP-11494.jpg,Maar(s),Uganda,Africa and Red Sea,Africa (central),holocene,Unknown - Evidence Credible,"1554 m, 5098 ft",0.2°S,30.08°E,177517,177517,338735,5955535,-0.2,30.08,1554,On land
Butajiri-Silti Field,https://volcano.si.edu/gallery/photos/GVP-00146.jpg,Fissure vent(s),Ethiopia,Africa and Red Sea,Africa (northeastern) and Red Sea,holocene,Unknown - Evidence Credible,"2281 m, 7484 ft",8.05°N,38.35°E,431631,431631,889323,7096283,8.05,38.35,2281,On land
Cameroon,https://volcano.si.edu/gallery/photos/GVP-08685.jpg,Stratovolcano,Cameroon,Africa and Red Sea,Africa (western),holocene,2000 CE,"4095 m, 13435 ft",4.203°N,9.17°E,328,26053,417460,3079036,4.203,9.17,4095,On land
Central Island,https://volcano.si.edu/gallery/photos/GVP-10043.jpg,Tuff cone(s),Kenya,Africa and Red Sea,Africa (eastern),holocene,Unknown - Evidence Credible,"518 m, 1699 ft",3.496°N,36.04°E,28,28,10253,216485,3.496,36.04,518,On land
Chyulu Hills,https://volcano.si.edu/gallery/photos/GVP-12241.jpg,Volcanic field,Kenya,Africa and Red Sea,Africa (eastern),holocene,1855 CE,"2188 m, 7178 ft",2.68°S,37.88°E,14889,14889,91280,1784980,-2.68,37.88,2188,On land
Corbetti Caldera,https://volcano.si.edu/gallery/photos/GVP-00147.jpg,Caldera,Ethiopia,Africa and Red Sea,Africa (northeastern) and Red Sea,holocene,Unknown - Evidence Credible,"2320 m, 7612 ft",7.193°N,38.39°E,565206,565206,1171948,9794061,7.193,38.39,2320,On land
Dabbahu,https://volcano.si.edu/gallery/photos/GVP-11583.jpg,Stratovolcano,Ethiopia,Africa and Red Sea,Africa (northeastern) and Red Sea,holocene,2005 CE,"1401 m, 4596 ft",12.595°N,40.48°E,204,1150,36494,540735,12.595,40.48,1401,On land
Dabbayra,https://volcano.si.edu/gallery/photos/GVP-11183.jpg,Shield,Ethiopia,Africa and Red Sea,Africa (northeastern) and Red Sea,holocene,Unknown - Evidence Credible,"1302 m, 4272 ft",12.38°N,40.07°E,804,3324,47053,1946949,12.38,40.07,1302,On land
